DES,T/K,V/cP,MCI,Avg Molar, omega
DES44,302.45,0.095,0.095309449,184.61,7.2036
DES18,314.75,0.047,0.054353157,135.86,4.3875
DES20,303.25,0.098,0.09739471,109.3,5.1905
DES20,312.45,0.0623,0.061649324,109.3,5.1905
DES14,306.25,0.056,0.056144481,148.07,5.7999
DES35,299.35,0.0787,0.075998204,103.72,4.329
DES14,300.95,0.072,0.071865675,148.07,5.7999
DES44,296.25,0.132,0.131158851,184.61,7.2036
DES20,313.25,0.0586,0.059438728,109.3,5.1905
DES23,303.95,0.7379,0.707135156,158.39,5.2508
DES37,304.75,0.535,0.503966681,138.15,3.7
DES29,307.85,0.243,0.229851697,191.58,8.0651
DES38,307.85,0.359,0.35001254,149.67,4.3893
DES8,321.65,0.067,0.069220325,103.98,2.9856
DES37,293.05,1.299,1.297661907,138.15,3.7
DES28,315.55,0.188,0.172814718,201.94,6.8446
DES23,318.55,0.2399,0.269246125,158.39,5.2508
DES7,320.95,0.081,0.082609794,107.78,2.2963
DES19,316.25,0.0488,0.05084483,121.1,4.789
DES39,303.25,0.403,0.390178378,168.09,5.0786
DES44,309.35,0.068,0.069367675,184.61,7.2036
DES37,317.05,0.231,0.234561901,138.15,3.7
DES33,312.45,0.0534,0.051781013,127.15,3.526
DES7,299.35,0.281,0.281006327,107.78,2.2963
DES34,315.55,0.0402,0.040016782,114.13,3.9275
DES39,320.95,0.128,0.137463795,168.09,5.0786
DES13,300.85,0.07,0.071366169,147.54,4.5794
DES3,307.05,0.0269,0.025418121,81.46,2.1223
DES14,304.75,0.06,0.060076218,148.07,5.7999
DES36,296.25,1.217,1.137817245,128.94,3.0108
DES44,300.15,0.107,0.106857831,184.61,7.2036
DES38,317.05,0.195,0.202037654,149.67,4.3893
DES41,318.65,0.094,0.093795158,236.27,3.542
DES19,300.15,0.1098,0.111043766,121.1,4.789
DES24,300.15,0.7559,0.713338116,145.13,5.9401
DES38,298.55,0.723,0.685897745,149.67,4.3893
DES12,313.95,0.038,0.038651474,146.7,3.3588
DES35,315.55,0.0365,0.036011106,103.72,4.329
DES9,302.45,0.168,0.16776531,101.61,3.6749
DES15,317.85,0.037,0.036142767,148.49,7.0204
DES36,314.75,0.309,0.319221551,128.94,3.0108
DES28,295.45,0.596,0.580606013,201.94,6.8446
DES34,301.65,0.0777,0.075479761,114.13,3.9275
DES7,318.65,0.089,0.092114894,107.78,2.2963
DES23,314.75,0.3132,0.336997482,158.39,5.2508
DES6,320.85,0.107,0.086385419,115.87,1.607
DES38,303.25,0.503,0.47982219,149.67,4.3893
DES39,309.35,0.259,0.261416819,168.09,5.0786
DES4,293.85,0.0319,0.032906871,77.58,2.5238
DES43,305.55,0.093,0.092622445,193.22,5.9831
DES14,297.85,0.084,0.083918783,148.07,5.7999
DES36,316.25,0.285,0.293595131,128.94,3.0108
DES4,317.05,0.0149,0.013146182,77.58,2.5238
DES39,323.25,0.112,0.122835204,168.09,5.0786
DES35,318.65,0.0318,0.031862801,103.72,4.329
DES40,297.05,0.492,0.479991085,207.24,5.7679
DES44,305.55,0.082,0.08226233,184.61,7.2036
DES39,313.95,0.188,0.199283823,168.09,5.0786
DES38,293.05,1.101,1.100841504,149.67,4.3893
DES39,299.35,0.544,0.518808158,168.09,5.0786
DES9,316.25,0.08,0.079470162,101.61,3.6749
DES33,314.75,0.0477,0.046960496,127.15,3.526
DES14,294.65,0.1,0.099398489,148.07,5.7999
DES18,294.65,0.1502,0.150487242,135.86,4.3875
DES36,320.95,0.213,0.229090042,128.94,3.0108
DES35,310.15,0.0459,0.045207394,103.72,4.329
DES19,314.75,0.0528,0.054222528,121.1,4.789
DES12,318.65,0.032,0.032345772,146.7,3.3588
DES45,313.95,0.049,0.051910698,177.72,8.4242
DES33,300.85,0.0927,0.089994168,127.15,3.526
DES17,310.95,0.0657,0.074598143,159.48,3.986
DES12,310.15,0.044,0.045056169,146.7,3.3588
DES44,303.95,0.088,0.088671367,184.61,7.2036
DES29,311.65,0.199,0.186919625,191.58,8.0651
DES22,294.65,2.4947,2.34271622,179.6,4.5615
DES36,309.35,0.453,0.440344329,128.94,3.0108
DES18,309.35,0.0613,0.069102147,135.86,4.3875
DES24,323.25,0.1497,0.164162822,145.13,5.9401
DES23,298.55,1.1988,1.10261025,158.39,5.2508
DES25,306.25,0.5407,0.451628005,134.52,6.6294
DES10,298.55,0.183,0.182453399,99.7,4.3641
DES8,303.95,0.172,0.174455742,103.98,2.9856
DES10,294.65,0.238,0.236985161,99.7,4.3641
DES35,293.85,0.104,0.103128029,103.72,4.329
DES14,313.25,0.042,0.041782307,148.07,5.7999
DES39,295.45,0.749,0.708678889,168.09,5.0786
DES22,319.35,0.2829,0.349925538,179.6,4.5615
DES29,296.25,0.493,0.478919793,191.58,8.0651
DES14,303.95,0.062,0.062327219,148.07,5.7999
DES38,295.45,0.938,0.888249518,149.67,4.3893
DES32,300.95,0.1152,0.110677915,147.97,3.1245
DES12,308.65,0.047,0.047986832,146.7,3.3588
DES4,297.85,0.0269,0.027415826,77.58,2.5238
DES37,307.05,0.454,0.4303896,138.15,3.7
DES43,319.35,0.048,0.051794302,193.22,5.9831
DES11,297.05,0.077,0.080394961,144.91,2.1383
DES8,312.45,0.106,0.107952918,103.98,2.9856
DES9,298.55,0.216,0.215258579,101.61,3.6749
DES45,310.95,0.057,0.058703661,177.72,8.4242
DES10,322.45,0.055,0.052702719,99.7,4.3641
DES3,303.95,0.0299,0.028923279,81.46,2.1223
DES33,309.35,0.0618,0.059410111,127.15,3.526
DES36,293.85,1.45,1.400546449,128.94,3.0108
DES27,309.35,0.285,0.268936665,218.5,5.6241
DES17,320.95,0.0415,0.04905684,159.48,3.986
DES18,313.25,0.0503,0.05798216,135.86,4.3875
DES30,298.55,0.364,0.352214587,183.3,9.2857
DES7,309.35,0.148,0.149905508,107.78,2.2963
DES4,318.65,0.0139,0.012471977,77.58,2.5238
DES19,295.45,0.1477,0.146011262,121.1,4.789
DES40,302.45,0.32,0.324295629,207.24,5.7679
DES6,303.95,0.24,0.215295187,115.87,1.607
DES14,318.65,0.035,0.033952362,148.07,5.7999
DES17,323.25,0.0382,0.044931904,159.48,3.986
DES13,303.25,0.063,0.063646791,147.54,4.5794
DES37,301.65,0.683,0.631535438,138.15,3.7
DES2,307.05,0.0279,0.027410426,87.66,1.7208
DES12,310.95,0.043,0.043592837,146.7,3.3588
DES32,314.75,0.0599,0.05740923,147.97,3.1245
DES9,297.05,0.241,0.238227685,101.61,3.6749
DES12,314.75,0.037,0.037464825,146.7,3.3588
DES29,316.25,0.16,0.148162362,191.58,8.0651
DES42,315.55,0.07,0.072788662,207.0,4.7626
DES37,317.85,0.222,0.224518318,138.15,3.7
DES2,317.05,0.0199,0.018720158,87.66,1.7208
DES18,307.05,0.0701,0.0770484,135.86,4.3875
DES7,300.85,0.252,0.253593583,107.78,2.2963
DES12,323.25,0.028,0.027475581,146.7,3.3588
DES44,310.95,0.063,0.064759049,184.61,7.2036
DES32,302.45,0.1077,0.10226236,147.97,3.1245
DES7,303.95,0.205,0.207177162,107.78,2.2963
DES42,317.85,0.063,0.066354808,207.0,4.7626
DES27,322.45,0.147,0.14039718,218.5,5.6241
DES22,320.15,0.269,0.334103577,179.6,4.5615
DES10,297.85,0.193,0.19092178,99.7,4.3641
DES19,311.65,0.061,0.06223697,121.1,4.789
DES41,313.25,0.12,0.117890242,236.27,3.542
DES6,314.75,0.139,0.116413158,115.87,1.607
DES39,316.25,0.167,0.175486707,168.09,5.0786
DES10,309.35,0.1,0.097521697,99.7,4.3641
DES40,317.05,0.123,0.136365564,207.24,5.7679
DES5,313.95,0.0139,0.012592682,74.48,2.9253
DES43,303.95,0.1,0.099941335,193.22,5.9831
DES11,293.05,0.096,0.099505588,144.91,2.1383
DES4,295.45,0.0299,0.030544893,77.58,2.5238
DES22,321.65,0.2412,0.306901362,179.6,4.5615
DES13,323.25,0.03,0.028505042,147.54,4.5794
DES3,299.35,0.0349,0.035461377,81.46,2.1223
DES38,316.25,0.206,0.211141533,149.67,4.3893
DES5,320.15,0.0119,0.010302941,74.48,2.9253
DES30,310.15,0.189,0.177001728,183.3,9.2857
DES36,302.45,0.745,0.70138835,128.94,3.0108
DES45,313.25,0.051,0.053395166,177.72,8.4242
DES35,300.95,0.0721,0.0699333,103.72,4.329
DES27,320.95,0.162,0.150190186,218.5,5.6241
DES38,314.75,0.224,0.229736286,149.67,4.3893
DES45,308.65,0.063,0.064761931,177.72,8.4242
DES18,307.85,0.0668,0.074150603,135.86,4.3875
DES6,307.75,0.195,0.170929744,115.87,1.607
DES37,320.95,0.184,0.190595334,138.15,3.7
DES37,298.55,0.869,0.804636655,138.15,3.7
DES39,297.75,0.616,0.587556883,168.09,5.0786
DES19,323.25,0.0379,0.038369104,121.1,4.789
DES25,297.05,1.0129,0.936159056,134.52,6.6294
DES28,297.85,0.498,0.488881007,201.94,6.8446
DES11,295.45,0.084,0.087391173,144.91,2.1383
DES34,296.25,0.1021,0.100901311,114.13,3.9275
DES12,313.25,0.039,0.039732693,146.7,3.3588
DES37,302.45,0.639,0.594913901,138.15,3.7
DES43,313.25,0.064,0.06595826,193.22,5.9831
DES10,313.25,0.083,0.080050867,99.7,4.3641
DES33,313.25,0.0515,0.050030755,127.15,3.526
DES45,297.05,0.114,0.112933993,177.72,8.4242
DES15,302.45,0.069,0.069410285,148.49,7.0204
DES20,316.25,0.0504,0.052044869,109.3,5.1905
DES35,307.85,0.0515,0.050106944,103.72,4.329
DES40,305.55,0.256,0.264122961,207.24,5.7679
DES19,319.35,0.0433,0.044721918,121.1,4.789
DES38,312.45,0.261,0.262707911,149.67,4.3893
DES20,317.05,0.0486,0.050286203,109.3,5.1905
DES8,295.45,0.311,0.307925532,103.98,2.9856
DES32,300.15,0.1208,0.115548274,147.97,3.1245
DES23,309.35,0.4735,0.477906898,158.39,5.2508
DES28,310.15,0.243,0.228954997,201.94,6.8446
DES25,312.45,0.3825,0.298757571,134.52,6.6294
DES39,303.95,0.381,0.371670364,168.09,5.0786
DES9,317.85,0.074,0.073689588,101.61,3.6749
DES12,320.15,0.031,0.030634264,146.7,3.3588
DES43,318.65,0.05,0.053193121,193.22,5.9831
DES18,303.25,0.0866,0.093118303,135.86,4.3875
DES9,314.75,0.086,0.085458412,101.61,3.6749
DES27,293.85,0.745,0.736811191,218.5,5.6241
DES12,316.25,0.035,0.03537173,146.7,3.3588
DES11,300.85,0.064,0.066551273,144.91,2.1383
DES39,317.05,0.16,0.168099913,168.09,5.0786
DES6,309.35,0.179,0.155873519,115.87,1.607
DES36,300.85,0.843,0.789426839,128.94,3.0108
DES15,307.05,0.057,0.056164627,148.49,7.0204
DES27,320.15,0.169,0.155793349,218.5,5.6241
DES42,313.95,0.076,0.077778432,207.0,4.7626
DES9,305.55,0.141,0.139463235,101.61,3.6749
DES43,295.45,0.157,0.155435505,193.22,5.9831
DES13,309.35,0.048,0.048518387,147.54,4.5794
DES45,318.65,0.04,0.043276051,177.72,8.4242
DES23,312.45,0.3695,0.389240967,158.39,5.2508
DES11,306.25,0.05,0.051909291,144.91,2.1383
DES42,317.05,0.066,0.068500749,207.0,4.7626
DES5,297.85,0.0229,0.023198217,74.48,2.9253
DES24,308.55,0.3855,0.385393191,145.13,5.9401
DES17,298.55,0.1339,0.139367853,159.48,3.986
DES10,320.15,0.061,0.058176899,99.7,4.3641
DES44,312.45,0.059,0.060810405,184.61,7.2036
DES7,300.15,0.267,0.265927464,107.78,2.2963
DES5,308.65,0.0159,0.015159481,74.48,2.9253
DES43,299.35,0.126,0.125868688,193.22,5.9831
DES34,293.05,0.1208,0.121578336,114.13,3.9275
DES32,298.55,0.1302,0.126184277,147.97,3.1245
DES42,297.85,0.17,0.168460742,207.0,4.7626
DES24,300.85,0.7087,0.674534182,145.13,5.9401
DES17,314.75,0.0547,0.063129267,159.48,3.986
DES30,303.25,0.274,0.261551339,183.3,9.2857
DES27,307.85,0.309,0.29263367,218.5,5.6241
DES2,300.95,0.0349,0.035645507,87.66,1.7208
DES24,302.45,0.625,0.595613754,145.13,5.9401
DES9,294.65,0.284,0.282153315,101.61,3.6749
DES9,301.65,0.176,0.17628496,101.61,3.6749
DES18,308.55,0.0635,0.071734634,135.86,4.3875
DES27,300.15,0.489,0.470230378,218.5,5.6241
DES5,300.15,0.0209,0.021062861,74.48,2.9253
DES10,295.45,0.226,0.224206827,99.7,4.3641
DES25,300.15,0.8045,0.719141814,134.52,6.6294
DES17,305.55,0.0877,0.096336216,159.48,3.986
DES41,304.75,0.181,0.176350699,236.27,3.542
DES45,316.25,0.044,0.047414607,177.72,8.4242
DES17,321.65,0.0404,0.047748058,159.48,3.986
DES22,309.35,0.6438,0.666475511,179.6,4.5615
DES44,313.95,0.055,0.05718429,184.61,7.2036
DES5,322.45,0.0109,0.009602522,74.48,2.9253
DES44,315.55,0.051,0.05363574,184.61,7.2036
DES14,320.95,0.032,0.031229135,148.07,5.7999
DES34,308.65,0.0552,0.053857403,114.13,3.9275
DES6,320.15,0.11,0.089258046,115.87,1.607
DES39,293.05,0.872,0.871966079,168.09,5.0786
DES27,319.35,0.176,0.16168268,218.5,5.6241
DES12,300.85,0.067,0.068316964,146.7,3.3588
DES4,305.55,0.0209,0.019905781,77.58,2.5238
DES39,304.75,0.359,0.351902171,168.09,5.0786
DES20,293.05,0.1787,0.178537461,109.3,5.1905
DES5,320.95,0.0119,0.010051332,74.48,2.9253
DES12,307.85,0.049,0.049657204,146.7,3.3588
DES43,310.95,0.071,0.072684157,193.22,5.9831
DES13,321.65,0.031,0.03014588,147.54,4.5794
DES44,321.65,0.039,0.042576426,184.61,7.2036
DES22,298.55,1.7543,1.600739179,179.6,4.5615
DES32,322.45,0.0431,0.042178681,147.97,3.1245
DES13,298.55,0.079,0.080000781,147.54,4.5794
DES34,320.95,0.0318,0.032383467,114.13,3.9275
DES6,307.05,0.204,0.178124877,115.87,1.607
DES11,316.25,0.034,0.034526723,144.91,2.1383
DES17,307.05,0.0811,0.089520729,159.48,3.986
DES40,303.25,0.302,0.307172325,207.24,5.7679
DES22,293.85,2.6153,2.546646253,179.6,4.5615
DES39,314.75,0.182,0.190545325,168.09,5.0786
DES23,308.55,0.5043,0.505008281,158.39,5.2508
DES39,310.15,0.246,0.24893069,168.09,5.0786
DES20,319.35,0.0434,0.04566046,109.3,5.1905
DES29,314.75,0.172,0.159504282,191.58,8.0651
DES37,321.65,0.176,0.183897261,138.15,3.7
DES32,310.95,0.0712,0.06778026,147.97,3.1245
DES25,293.85,1.2899,1.257791465,134.52,6.6294
DES24,322.45,0.1555,0.170994541,145.13,5.9401
DES9,303.95,0.154,0.153204515,101.61,3.6749
DES27,312.45,0.247,0.227496248,218.5,5.6241
DES29,318.65,0.144,0.132167944,191.58,8.0651
DES4,299.35,0.0259,0.025679329,77.58,2.5238
DES3,293.85,0.0449,0.046225785,81.46,2.1223
DES5,301.65,0.0199,0.019813732,74.48,2.9253
DES32,304.75,0.0955,0.090949284,147.97,3.1245
DES29,294.65,0.549,0.537856459,191.58,8.0651
DES42,298.55,0.161,0.162132371,207.0,4.7626
DES42,323.25,0.05,0.054034858,207.0,4.7626
DES29,303.95,0.301,0.288714395,191.58,8.0651
DES6,296.35,0.385,0.361915931,115.87,1.607
DES9,300.85,0.185,0.185385937,101.61,3.6749
DES43,317.05,0.054,0.056592187,193.22,5.9831
DES19,315.55,0.0514,0.05238428,121.1,4.789
DES10,314.75,0.077,0.074453252,99.7,4.3641
DES17,301.65,0.1108,0.117662913,159.48,3.986
DES41,323.25,0.077,0.078296762,236.27,3.542
DES43,311.65,0.069,0.070541616,193.22,5.9831
DES23,306.25,0.6052,0.595012534,158.39,5.2508
DES28,308.65,0.264,0.248793623,201.94,6.8446
DES32,303.25,0.103,0.098123152,147.97,3.1245
DES39,321.65,0.122,0.132774926,168.09,5.0786
DES13,307.05,0.053,0.053579371,147.54,4.5794
DES11,304.75,0.053,0.055496609,144.91,2.1383
DES10,303.25,0.139,0.136717842,99.7,4.3641
DES45,297.75,0.109,0.108852559,177.72,8.4242
DES41,307.05,0.162,0.157238747,236.27,3.542
DES35,296.25,0.0918,0.089917359,103.72,4.329
DES23,322.45,0.1847,0.217273364,158.39,5.2508
DES41,311.65,0.13,0.126634494,236.27,3.542
DES43,293.85,0.171,0.170261579,193.22,5.9831
DES18,321.65,0.0349,0.041121107,135.86,4.3875
DES10,299.35,0.175,0.173371664,99.7,4.3641
DES20,303.95,0.0944,0.093815773,109.3,5.1905
DES9,322.45,0.06,0.059937719,101.61,3.6749
DES36,313.95,0.319,0.334111487,128.94,3.0108
DES45,296.25,0.119,0.117854133,177.72,8.4242
DES6,298.55,0.332,0.308649329,115.87,1.607
DES2,302.45,0.0329,0.033335944,87.66,1.7208
DES6,301.65,0.275,0.249748799,115.87,1.607
DES8,308.65,0.131,0.132544082,103.98,2.9856
DES28,300.95,0.414,0.396570351,201.94,6.8446
DES29,310.15,0.215,0.202470347,191.58,8.0651
DES36,317.05,0.268,0.28104023,128.94,3.0108
DES5,307.05,0.0159,0.016077467,74.48,2.9253
DES15,315.55,0.04,0.03946634,148.49,7.0204
DES34,293.85,0.1161,0.115915743,114.13,3.9275
DES29,295.45,0.521,0.507269517,191.58,8.0651
DES25,323.25,0.2321,0.162250544,134.52,6.6294
DES15,322.45,0.032,0.030568833,148.49,7.0204
DES5,307.85,0.0159,0.015609082,74.48,2.9253
DES40,318.65,0.112,0.125695082,207.24,5.7679
DES43,317.85,0.052,0.054856391,193.22,5.9831
DES7,311.65,0.129,0.131888446,107.78,2.2963
DES19,308.65,0.0704,0.071602429,121.1,4.789
DES12,300.15,0.07,0.070679334,146.7,3.3588
DES10,297.05,0.204,0.201246256,99.7,4.3641
DES44,307.85,0.073,0.074104288,184.61,7.2036
DES9,307.85,0.123,0.122438852,101.61,3.6749
DES33,301.65,0.0899,0.086314866,127.15,3.526
DES24,317.85,0.2063,0.218658348,145.13,5.9401
DES22,320.95,0.2542,0.319215312,179.6,4.5615
DES45,314.75,0.048,0.050282752,177.72,8.4242
DES6,318.55,0.118,0.096325361,115.87,1.607
DES29,319.35,0.14,0.1279443,191.58,8.0651
DES17,303.25,0.1009,0.108214046,159.48,3.986
DES14,310.95,0.046,0.045880514,148.07,5.7999
DES18,297.05,0.1282,0.130581108,135.86,4.3875
DES25,309.35,0.4537,0.364883604,134.52,6.6294
DES41,313.95,0.117,0.114322137,236.27,3.542
DES2,295.45,0.0439,0.046249881,87.66,1.7208
DES25,296.25,1.0762,1.005545261,134.52,6.6294
DES13,313.95,0.04,0.040196865,147.54,4.5794
DES10,293.85,0.252,0.250736746,99.7,4.3641
DES2,297.05,0.0409,0.042767148,87.66,1.7208
DES7,310.15,0.141,0.143286807,107.78,2.2963
DES15,313.95,0.043,0.042031624,148.49,7.0204
DES25,297.85,0.9575,0.872834581,134.52,6.6294
DES2,323.25,0.0169,0.01516315,87.66,1.7208
DES15,310.15,0.049,0.04911741,148.49,7.0204
DES8,294.65,0.328,0.326658817,103.98,2.9856
DES5,305.55,0.0169,0.017009828,74.48,2.9253
DES41,296.25,0.285,0.281497978,236.27,3.542
DES37,310.15,0.365,0.351994777,138.15,3.7
DES19,322.45,0.0379,0.039566054,121.1,4.789
DES25,319.35,0.2743,0.199493187,134.52,6.6294
DES34,306.25,0.0618,0.060195688,114.13,3.9275
DES34,303.25,0.0721,0.069624909,114.13,3.9275
DES37,316.25,0.245,0.245211968,138.15,3.7
DES42,306.25,0.109,0.109663021,207.0,4.7626
DES17,309.35,0.0712,0.080279052,159.48,3.986
DES45,303.25,0.083,0.082769576,177.72,8.4242
DES19,309.35,0.0677,0.069254936,121.1,4.789
DES42,300.15,0.148,0.148817123,207.0,4.7626
DES43,293.05,0.179,0.17838582,193.22,5.9831
DES11,305.55,0.051,0.053542785,144.91,2.1383
DES9,319.35,0.069,0.068774442,101.61,3.6749
DES13,294.65,0.098,0.098167668,147.54,4.5794
DES9,323.25,0.059,0.057909768,101.61,3.6749
DES38,319.35,0.172,0.178611845,149.67,4.3893
DES24,295.45,1.1404,1.065900825,145.13,5.9401
DES27,307.05,0.324,0.306414712,218.5,5.6241
DES36,295.45,1.302,1.21769713,128.94,3.0108
DES12,311.65,0.042,0.042365404,146.7,3.3588
DES15,318.55,0.036,0.035208201,148.49,7.0204
DES17,319.35,0.0448,0.0522395,159.48,3.986
DES38,293.85,1.061,1.023316169,149.67,4.3893
DES32,306.25,0.089,0.084464299,147.97,3.1245
DES42,303.95,0.123,0.122578851,207.0,4.7626
DES38,304.75,0.447,0.431436181,149.67,4.3893
DES20,311.65,0.0634,0.063972794,109.3,5.1905
DES7,313.95,0.114,0.116646574,107.78,2.2963
DES24,294.65,1.2135,1.146984107,145.13,5.9401
DES45,319.35,0.039,0.042163332,177.72,8.4242
DES32,309.35,0.0768,0.072913497,147.97,3.1245
DES33,316.25,0.0449,0.044142237,127.15,3.526
DES3,313.25,0.0219,0.019977045,81.46,2.1223
DES11,318.55,0.031,0.031696633,144.91,2.1383
DES17,307.85,0.0778,0.086150377,159.48,3.986
DES2,311.65,0.0239,0.022841267,87.66,1.7208
DES7,301.65,0.24,0.240401852,107.78,2.2963
DES36,318.65,0.246,0.25799731,128.94,3.0108
DES32,313.95,0.0618,0.059403029,147.97,3.1245
DES15,305.55,0.06,0.060074439,148.49,7.0204
DES24,297.85,0.9257,0.86313638,145.13,5.9401
DES22,311.65,0.5288,0.567876272,179.6,4.5615
DES4,297.05,0.0279,0.028408087,77.58,2.5238
DES42,293.15,0.222,0.220820766,207.0,4.7626
DES8,317.85,0.08,0.08248636,103.98,2.9856
DES30,319.35,0.123,0.112696899,183.3,9.2857
DES27,298.55,0.534,0.523992671,218.5,5.6241
DES22,310.95,0.5631,0.595736499,179.6,4.5615
DES42,294.65,0.204,0.20200639,207.0,4.7626
DES18,316.35,0.0437,0.050815451,135.86,4.3875
DES33,303.95,0.0796,0.076801882,127.15,3.526
DES43,301.65,0.112,0.111899271,193.22,5.9831
DES14,312.45,0.044,0.043148553,148.07,5.7999
DES8,318.65,0.077,0.079425037,103.98,2.9856
DES24,303.25,0.5826,0.560644085,145.13,5.9401
DES11,294.65,0.088,0.091197846,144.91,2.1383
DES18,310.15,0.0591,0.066598854,135.86,4.3875
DES2,294.65,0.0459,0.048135913,87.66,1.7208
DES2,297.85,0.0399,0.041158313,87.66,1.7208
DES9,317.05,0.077,0.076506267,101.61,3.6749
DES32,323.25,0.0412,0.040928974,147.97,3.1245
DES22,312.45,0.4944,0.538088773,179.6,4.5615
DES19,312.45,0.0582,0.060022326,121.1,4.789
DES11,296.25,0.081,0.083794943,144.91,2.1383
DES45,305.55,0.074,0.074359306,177.72,8.4242
DES7,304.75,0.195,0.197048423,107.78,2.2963
DES43,296.25,0.149,0.148666036,193.22,5.9831
DES2,313.95,0.0219,0.020945813,87.66,1.7208
DES34,313.25,0.0449,0.044025853,114.13,3.9275
DES29,315.55,0.166,0.153315504,191.58,8.0651
